page,section,qnumb,question,isbn
129,3.F,17,Suppose $U \subset V$. Explain why $U^{0}=\left\{\varphi \in V^{\prime}: U \subset\right.$ null $\left.\varphi\right\}$.,978-3-319-11079-0
129,3.F,18,Suppose $V$ is finite-dimensional and $U \subset V$. Show that $U=\{0\}$ if and only if $U^{0}=V^{\prime}$.,978-3-319-11079-0
129,3.F,19,Suppose $V$ is finite-dimensional and $U$ is a subspace of $V$. Show that $U=V$ if and only if $U^{0}=\{0\}$.,978-3-319-11079-0
129,3.F,20,Suppose $U$ and $W$ are subsets of $V$ with $U \subset W$. Prove that $W^{0} \subset U^{0}$.,978-3-319-11079-0
129,3.F,21,Suppose $V$ is finite-dimensional and $U$ and $W$ are subspaces of $V$ with $W^{0} \subset U^{0}$. Prove that $U \subset W$.,978-3-319-11079-0
129,3.F,22,"Suppose $U, W$ are subspaces of $V$. Show that $(U+W)^{0}=U^{0} \cap W^{0}$. SECTION 3.F Duality",978-3-319-11079-0
129,3.F,115,,978-3-319-11079-0
129,3.F,23,Suppose $V$ is finite-dimensional and $U$ and $W$ are subspaces of $V$. Prove that $(U \cap W)^{0}=U^{0}+W^{0}$.,978-3-319-11079-0
129,3.F,24,Prove $3.106$ using the ideas sketched in the discussion before the statement of $3.106$.,978-3-319-11079-0
129,3.F,25,Suppose $V$ is finite-dimensional and $U$ is a subspace of $V$. Show that \[ U=\left\{v \in V: \varphi(v)=0 \text { for every } \varphi \in U^{0}\right\} \text {. } \],978-3-319-11079-0
129,3.F,26,Suppose $V$ is finite-dimensional and $\Gamma$ is a subspace of $V^{\prime}$. Show that \[ \Gamma=\{v \in V: \varphi(v)=0 \text { for every } \varphi \in \Gamma\}^{0} \text {. } \],978-3-319-11079-0
129,3.F,27,"Suppose $T \in \mathcal{L}\left(\mathcal{P}_{5}(\mathbf{R}), \mathcal{P}_{5}(\mathbf{R})\right)$ and null $T^{\prime}=\operatorname{span}(\varphi)$, where $\varphi$ is the linear functional on $\mathcal{P}_{5}(\mathbf{R})$ defined by $\varphi(p)=p(8)$. Prove that range $T=\left\{p \in \mathcal{P}_{5}(\mathbf{R}): p(8)=0\right\}$.",978-3-319-11079-0
129,3.F,28,"Suppose $V$ and $W$ are finite-dimensional, $T \in \mathcal{L}(V, W)$, and there exists $\varphi \in W^{\prime}$ such that null $T^{\prime}=\operatorname{span}(\varphi)$. Prove that range $T=\operatorname{null} \varphi$.",978-3-319-11079-0
129,3.F,29,"Suppose $V$ and $W$ are finite-dimensional, $T \in \mathcal{L}(V, W)$, and there exists $\varphi \in V^{\prime}$ such that range $T^{\prime}=\operatorname{span}(\varphi)$. Prove that null $T=\operatorname{null} \varphi$.",978-3-319-11079-0
129,3.F,30,"Suppose $V$ is finite-dimensional and $\varphi_{1}, \ldots, \varphi_{m}$ is a linearly independent list in $V^{\prime}$. Prove that \[ \operatorname{dim}\left(\left(\operatorname{null} \varphi_{1}\right) \cap \cdots \cap\left(\operatorname{null} \varphi_{m}\right)\right)=(\operatorname{dim} V)-m \]",978-3-319-11079-0
129,3.F,31,"Suppose $V$ is finite-dimensional and $\varphi_{1}, \ldots, \varphi_{n}$ is a basis of $V^{\prime}$. Show that there exists a basis of $V$ whose dual basis is $\varphi_{1}, \ldots, \varphi_{n}$.",978-3-319-11079-0
129,3.F,32,"Suppose $T \in \mathcal{L}(V)$, and $u_{1}, \ldots, u_{n}$ and $v_{1}, \ldots, v_{n}$ are bases of $V$. Prove that the following are equivalent: (a) $T$ is invertible. (b) The columns of $\mathcal{M}(T)$ are linearly independent in $\mathbf{F}^{n, 1}$. (c) The columns of $\mathcal{M}(T) \operatorname{span} \mathbf{F}^{n, 1}$. (d) The rows of $\mathcal{M}(T)$ are linearly independent in $\mathbf{F}^{1, n}$. (e) The rows of $\mathcal{M}(T) \operatorname{span} \mathbf{F}^{1, n}$. Here $\mathcal{M}(T)$ means $\mathcal{M}\left(T,\left(u_{1}, \ldots, u_{n}\right),\left(v_{1}, \ldots, u_{n}\right)\right)$.",978-3-319-11079-0
129,3.F,116,CHAPTER $3$ Linear Maps,978-3-319-11079-0
129,3.F,33,"Suppose $m$ and $n$ are positive integers. Prove that the function that takes $A$ to $A^{\mathrm{t}}$ is a linear map from $\mathbf{F}^{m, n}$ to $\mathbf{F}^{n, m}$. Furthermore, prove that this linear map is invertible.",978-3-319-11079-0
129,3.F,34,"The double dual space of $V$, denoted $V^{\prime \prime}$, is defined to be the dual space of $V^{\prime}$. In other words, $V^{\prime \prime}=\left(V^{\prime}\right)^{\prime}$. Define $\Lambda: V \rightarrow V^{\prime \prime}$ by \[ (\Lambda v)(\varphi)=\varphi(v) \] for $v \in V$ and $\varphi \in V^{\prime}$. (a) Show that $\Lambda$ is a linear map from $V$ to $V^{\prime \prime}$. (b) Show that if $T \in \mathcal{L}(V)$, then $T^{\prime \prime} \circ \Lambda=\Lambda \circ T$, where $T^{\prime \prime}=\left(T^{\prime}\right)^{\prime}$. (c) Show that if $V$ is finite-dimensional, then $\Lambda$ is an isomorphism from $V$ onto $V^{\prime \prime}$. [Suppose $V$ is finite-dimensional. Then $V$ and $V^{\prime}$ are isomorphic, but finding an isomorphism from $V$ onto $V^{\prime}$ generally requires choosing a basis of $V$. In contrast, the isomorphism $\Lambda$ from $V$ onto $V^{\prime \prime}$ does not require a choice of basis and thus is considered more natural.]",978-3-319-11079-0
129,3.F,35,Show that $(\mathcal{P}(\mathbf{R}))^{\prime}$ and $\mathbf{R}^{\infty}$ are isomorphic.,978-3-319-11079-0
129,3.F,36,"Suppose $U$ is a subspace of $V$. Let $i: U \rightarrow V$ be the inclusion map defined by $i(u)=u$. Thus $i^{\prime} \in \mathcal{L}\left(V^{\prime}, U^{\prime}\right)$. (a) Show that null $i^{\prime}=U^{0}$. (b) Prove that if $V$ is finite-dimensional, then range $i^{\prime}=U^{\prime}$. (c) Prove that if $V$ is finite-dimensional, then $\widetilde{i^{\prime}}$ is an isomorphism from $V^{\prime} / U^{0}$ onto $U^{\prime}$. [The isomorphism in part (c) is natural in that it does not depend on a choice of basis in either vector space.]",978-3-319-11079-0
129,3.F,37,"Suppose $U$ is a subspace of $V$. Let $\pi: V \rightarrow V / U$ be the usual quotient map. Thus $\pi^{\prime} \in \mathcal{L}\left((V / U)^{\prime}, V^{\prime}\right)$. (a) Show that $\pi^{\prime}$ is injective. (b) Show that range $\pi^{\prime}=U^{0}$. (c) Conclude that $\pi^{\prime}$ is an isomorphism from $(V / U)^{\prime}$ onto $U^{0}$. [The isomorphism in part (c) is natural in that it does not depend on a choice of basis in either vector space. In fact, there is no assumption here that any of these vector spaces are finite-dimensional.]",978-3-319-11079-0
145,4,1,Verify all the assertions in $4.5$ except the last one.,978-3-319-11079-0
145,4,2,Suppose $m$ is a positive integer. Is the set \[ \{0\} \cup\{p \in \mathcal{P}(\mathbf{F}): \operatorname{deg} p=m\} \] a subspace of $\mathcal{P}(\mathbf{F})$ ?,978-3-319-11079-0
145,4,3,Is the set \[ \{0\} \cup\{p \in \mathcal{P}(\mathbf{F}): \operatorname{deg} p \text { is even }\} \] a subspace of $\mathcal{P}(\mathbf{F})$ ?,978-3-319-11079-0
145,4,4,"Suppose $m$ and $n$ are positive integers with $m \leq n$, and suppose $\lambda_{1}, \ldots, \lambda_{m} \in \mathbf{F}$. Prove that there exists a polynomial $p \in \mathcal{P}(\mathbf{F})$ with $\operatorname{deg} p=n$ such that $0=p\left(\lambda_{1}\right)=\cdots=p\left(\lambda_{m}\right)$ and such that $p$ has no other zeros.",978-3-319-11079-0
145,4,5,"Suppose $m$ is a nonnegative integer, $z_{1}, \ldots, z_{m+1}$ are distinct elements of $\mathbf{F}$, and $w_{1}, \ldots, w_{m+1} \in \mathbf{F}$. Prove that there exists a unique polynomial $p \in \mathcal{P}_{m}(\mathbf{F})$ such that \[ p\left(z_{j}\right)=w_{j} \] for $j=1, \ldots, m+1$. [This result can be proved without using linear algebra. However, try to find the clearer, shorter proof that uses some linear algebra.]",978-3-319-11079-0
145,4,6,Suppose $p \in \mathcal{P}(\mathbf{C})$ has degree $m$. Prove that $p$ has $m$ distinct zeros if and only if $p$ and its derivative $p^{\prime}$ have no zeros in common.,978-3-319-11079-0
145,4,7,Prove that every polynomial of odd degree with real coefficients has a real zero.,978-3-319-11079-0
145,4,8,"Define $T: \mathcal{P}(\mathbf{R}) \rightarrow \mathbf{R}^{\mathbf{R}}$ by \[ T p=\left\{\begin{array}{ll} \frac{p-p(3)}{x-3} & \text { if } x \neq 3, \\ p^{\prime}(3) & \text { if } x=3 . \end{array}\right. \]  Show that $T p \in \mathcal{P}(\mathbf{R})$ for every polynomial $p \in \mathcal{P}(\mathbf{R})$ and that $T$ is a linear map.",978-3-319-11079-0
145,4,130,CHAPTER $4$ Polynomials,978-3-319-11079-0
145,4,9,Suppose $p \in \mathcal{P}(\mathbf{C})$. Define $q: \mathbf{C} \rightarrow \mathbf{C}$ by \[ q(z)=p(z) \overline{p(\bar{z})} . \]  Prove that $q$ is a polynomial with real coefficients.,978-3-319-11079-0
145,4,10,"Suppose $m$ is a nonnegative integer and $p \in \mathcal{P}_{m}(\mathbf{C})$ is such that there exist distinct real numbers $x_{0}, x_{1}, \ldots, x_{m}$ such that $p\left(x_{j}\right) \in \mathbf{R}$ for $j=0,1, \ldots, m$. Prove that all the coefficients of $p$ are real.",978-3-319-11079-0
145,4,11,Suppose $p \in \mathcal{P}(\mathbf{F})$ with $p \neq 0$. Let $U=\{p q: q \in \mathcal{P}(\mathbf{F})\}$. (a) Show that $\operatorname{dim} \mathcal{P}(\mathbf{F}) / U=\operatorname{deg} p$. (b) Find a basis of $\operatorname{dim} \mathcal{P}(\mathbf{F}) / U$.,978-3-319-11079-0
154,5.A,1,"Suppose $T \in \mathcal{L}(V)$ and $U$ is a subspace of $V$. (a) Prove that if $U \subset$ null $T$, then $U$ is invariant under $T$. (b) Prove that if range $T \subset U$, then $U$ is invariant under $T$.",978-3-319-11079-0
154,5.A,2,"Suppose $S, T \in \mathcal{L}(V)$ are such that $S T=T S$. Prove that null $S$ is invariant under $T$. SECTION 5.A Invariant Subspaces",978-3-319-11079-0
154,5.A,139,,978-3-319-11079-0
154,5.A,3,"Suppose $S, T \in \mathcal{L}(V)$ are such that $S T=T S$. Prove that range $S$ is invariant under $T$.",978-3-319-11079-0
154,5.A,4,"Suppose that $T \in \mathcal{L}(V)$ and $U_{1}, \ldots, U_{m}$ are subspaces of $V$ invariant under $T$. Prove that $U_{1}+\cdots+U_{m}$ is invariant under $T$.",978-3-319-11079-0
154,5.A,5,Suppose $T \in \mathcal{L}(V)$. Prove that the intersection of every collection of subspaces of $V$ invariant under $T$ is invariant under $T$.,978-3-319-11079-0
154,5.A,6,"Prove or give a counterexample: if $V$ is finite-dimensional and $U$ is a subspace of $V$ that is invariant under every operator on $V$, then $U=\{0\}$ or $U=V$.",978-3-319-11079-0
154,5.A,7,"Suppose $T \in \mathcal{L}\left(\mathbf{R}^{2}\right)$ is defined by $T(x, y)=(-3 y, x)$. Find the eigenvalues of $T$.",978-3-319-11079-0
154,5.A,8,"Define $T \in \mathcal{L}\left(\mathbf{F}^{2}\right)$ by \[ T(w, z)=(z, w) . \]  Find all eigenvalues and eigenvectors of $T$.",978-3-319-11079-0
154,5.A,9,"Define $T \in \mathcal{L}\left(\mathbf{F}^{3}\right)$ by \[ T\left(z_{1}, z_{2}, z_{3}\right)=\left(2 z_{2}, 0,5 z_{3}\right) \]  Find all eigenvalues and eigenvectors of $T$.",978-3-319-11079-0
154,5.A,10,"Define $T \in \mathcal{L}\left(\mathbf{F}^{n}\right)$ by \[ T\left(x_{1}, x_{2}, x_{3}, \ldots, x_{n}\right)=\left(x_{1}, 2 x_{2}, 3 x_{3}, \ldots, n x_{n}\right) \] (a) Find all eigenvalues and eigenvectors of $T$. (b) Find all invariant subspaces of $T$.",978-3-319-11079-0
154,5.A,11,Define $T: \mathcal{P}(\mathbf{R}) \rightarrow \mathcal{P}(\mathbf{R})$ by $T p=p^{\prime}$. Find all eigenvalues and eigenvectors of $T$.,978-3-319-11079-0
154,5.A,12,Define $T \in \mathcal{L}\left(\mathcal{P}_{4}(\mathbf{R})\right)$ by \[ (T p)(x)=x p^{\prime}(x) \] for all $x \in \mathbf{R}$. Find all eigenvalues and eigenvectors of $T$.,978-3-319-11079-0
154,5.A,13,"Suppose $V$ is finite-dimensional, $T \in \mathcal{L}(V)$, and $\lambda \in \mathbf{F}$. Prove that there exists $\alpha \in \mathbf{F}$ such that $|\alpha-\lambda|<\frac{1}{1000}$ and $T-\alpha I$ is invertible.",978-3-319-11079-0
154,5.A,140,"CHAPTER $5$ Eigenvalues, Eigenvectors, and Invariant Subspaces",978-3-319-11079-0
154,5.A,14,"Suppose $V=U \oplus W$, where $U$ and $W$ are nonzero subspaces of $V$. Define $P \in \mathcal{L}(V)$ by $P(u+w)=u$ for $u \in U$ and $w \in W$. Find all eigenvalues and eigenvectors of $P$.",978-3-319-11079-0
154,5.A,15,Suppose $T \in \mathcal{L}(V)$. Suppose $S \in \mathcal{L}(V)$ is invertible. (a) Prove that $T$ and $S^{-1} T S$ have the same eigenvalues. (b) What is the relationship between the eigenvectors of $T$ and the eigenvectors of $S^{-1} T S$ ?,978-3-319-11079-0
154,5.A,16,"Suppose $V$ is a complex vector space, $T \in \mathcal{L}(V)$, and the matrix of $T$ with respect to some basis of $V$ contains only real entries. Show that if $\lambda$ is an eigenvalue of $T$, then so is $\bar{\lambda}$.",978-3-319-11079-0
154,5.A,17,Give an example of an operator $T \in \mathcal{L}\left(\mathbf{R}^{4}\right)$ such that $T$ has no (real) eigenvalues.,978-3-319-11079-0
154,5.A,18,"Show that the operator $T \in \mathcal{L}\left(\mathbf{C}^{\infty}\right)$ defined by \[ T\left(z_{1}, z_{2}, \ldots\right)=\left(0, z_{1}, z_{2}, \ldots\right) \] has no eigenvalues.",978-3-319-11079-0
154,5.A,19,"Suppose $n$ is a positive integer and $T \in \mathcal{L}\left(\mathbf{F}^{n}\right)$ is defined by \[ T\left(x_{1}, \ldots, x_{n}\right)=\left(x_{1}+\cdots+x_{n}, \ldots, x_{1}+\cdots+x_{n}\right) \] in other words, $T$ is the operator whose matrix (with respect to the standard basis) consists of all 1's. Find all eigenvalues and eigenvectors of $T$.",978-3-319-11079-0
154,5.A,20,"Find all eigenvalues and eigenvectors of the backward shift operator $T \in \mathcal{L}\left(\mathbf{F}^{\infty}\right)$ defined by \[ T\left(z_{1}, z_{2}, z_{3}, \ldots\right)=\left(z_{2}, z_{3}, \ldots\right) \]",978-3-319-11079-0
154,5.A,21,Suppose $T \in \mathcal{L}(V)$ is invertible. (a) Suppose $\lambda \in \mathbf{F}$ with $\lambda \neq 0$. Prove that $\lambda$ is an eigenvalue of $T$ if and only if $\frac{1}{\lambda}$ is an eigenvalue of $T^{-1}$. (b) Prove that $T$ and $T^{-1}$ have the same eigenvectors. SECTION 5.A Invariant Subspaces $\quad \approx 100 \sqrt{2}$,978-3-319-11079-0
154,5.A,22,Suppose $T \in \mathcal{L}(V)$ and there exist nonzero vectors $v$ and $w$ in $V$ such that \[ T v=3 w \quad \text { and } \quad T w=3 v . \]  Prove that $3$ or $-3$ is an eigenvalue of $T$.,978-3-319-11079-0
154,5.A,23,"Suppose $V$ is finite-dimensional and $S, T \in \mathcal{L}(V)$. Prove that $S T$ and $T S$ have the same eigenvalues.",978-3-319-11079-0
154,5.A,24,"Suppose $A$ is an $n$-by- $n$ matrix with entries in $\mathbf{F}$. Define $T \in \mathcal{L}\left(\mathbf{F}^{n}\right)$ by $T x=A x$, where elements of $\mathbf{F}^{n}$ are thought of as $n$-by- $1$ column vectors. (a) Suppose the sum of the entries in each row of $A$ equals $1$. Prove that $1$ is an eigenvalue of $T$. (b) Suppose the sum of the entries in each column of $A$ equals $1$. Prove that $1$ is an eigenvalue of $T$.",978-3-319-11079-0
154,5.A,25,"Suppose $T \in \mathcal{L}(V)$ and $u, v$ are eigenvectors of $T$ such that $u+v$ is also an eigenvector of $T$. Prove that $u$ and $v$ are eigenvectors of $T$ corresponding to the same eigenvalue.",978-3-319-11079-0
154,5.A,26,Suppose $T \in \mathcal{L}(V)$ is such that every nonzero vector in $V$ is an eigenvector of $T$. Prove that $T$ is a scalar multiple of the identity operator.,978-3-319-11079-0
154,5.A,27,Suppose $V$ is finite-dimensional and $T \in \mathcal{L}(V)$ is such that every subspace of $V$ with dimension $\operatorname{dim} V-1$ is invariant under $T$. Prove that $T$ is a scalar multiple of the identity operator.,978-3-319-11079-0
154,5.A,28,Suppose $V$ is finite-dimensional with $\operatorname{dim} V \geq 3$ and $T \in \mathcal{L}(V)$ is such that every 2-dimensional subspace of $V$ is invariant under $T$. Prove that $T$ is a scalar multiple of the identity operator.,978-3-319-11079-0
154,5.A,29,Suppose $T \in \mathcal{L}(V)$ and dim range $T=k$. Prove that $T$ has at most $k+1$ distinct eigenvalues.,978-3-319-11079-0
154,5.A,30,"Suppose $T \in \mathcal{L}\left(\mathbf{R}^{3}\right)$ and $-4,5$, and $\sqrt{7}$ are eigenvalues of $T$. Prove that there exists $x \in \mathbf{R}^{3}$ such that $T x-9 x=(-4,5, \sqrt{7})$.",978-3-319-11079-0
154,5.A,31,"Suppose $V$ is finite-dimensional and $v_{1}, \ldots, v_{m}$ is a list of vectors in $V$. Prove that $v_{1}, \ldots, v_{m}$ is linearly independent if and only if there exists $T \in \mathcal{L}(V)$ such that $v_{1}, \ldots, v_{m}$ are eigenvectors of $T$ corresponding to distinct eigenvalues.",978-3-319-11079-0
154,5.A,142,"CHAPTER $5$ Eigenvalues, Eigenvectors, and Invariant Subspaces",978-3-319-11079-0
154,5.A,32,"Suppose $\lambda_{1}, \ldots, \lambda_{n}$ is a list of distinct real numbers. Prove that the list $e^{\lambda_{1} x}, \ldots, e^{\lambda_{n} x}$ is linearly independent in the vector space of real-valued functions on $\mathbf{R}$. Hint: Let $V=\operatorname{span}\left(e^{\lambda_{1} x}, \ldots, e^{\lambda_{n} x}\right)$, and define an operator $T \in \mathcal{L}(V)$ by $T f=f^{\prime}$. Find eigenvalues and eigenvectors of $T$.",978-3-319-11079-0
154,5.A,33,Suppose $T \in \mathcal{L}(V)$. Prove that $T /($ range $T)=0$.,978-3-319-11079-0
154,5.A,34,Suppose $T \in \mathcal{L}(V)$. Prove that $T /($ null $T$ ) is injective if and only if (null $T) \cap($ range $T)=\{0\}$.,978-3-319-11079-0
154,5.A,35,"Suppose $V$ is finite-dimensional, $T \in \mathcal{L}(V)$, and $U$ is invariant under $T$. Prove that each eigenvalue of $T / U$ is an eigenvalue of $T$. [The exercise below asks you to verify that the hypothesis that $V$ is finite-dimensional is needed for the exercise above.]",978-3-319-11079-0
154,5.A,36,"Give an example of a vector space $V$, an operator $T \in \mathcal{L}(V)$, and a subspace $U$ of $V$ that is invariant under $T$ such that $T / U$ has an eigenvalue that is not an eigenvalue of $T$.",978-3-319-11079-0
169,5.B,1,Suppose $T \in \mathcal{L}(V)$ and there exists a positive integer $n$ such that $T^{n}=0$. (a) Prove that $I-T$ is invertible and that \[ (I-T)^{-1}=I+T+\cdots+T^{n-1} . \] (b) Explain how you would guess the formula above.,978-3-319-11079-0
169,5.B,2,Suppose $T \in \mathcal{L}(V)$ and $(T-2 I)(T-3 I)(T-4 I)=0$. Suppose $\lambda$ is an eigenvalue of $T$. Prove that $\lambda=2$ or $\lambda=3$ or $\lambda=4$.,978-3-319-11079-0
169,5.B,3,Suppose $T \in \mathcal{L}(V)$ and $T^{2}=I$ and $-1$ is not an eigenvalue of $T$. Prove that $T=I$.,978-3-319-11079-0
169,5.B,4,Suppose $P \in \mathcal{L}(V)$ and $P^{2}=P$. Prove that $V=$ null $P \oplus$ range $P$.,978-3-319-11079-0
169,5.B,5,"Suppose $S, T \in \mathcal{L}(V)$ and $S$ is invertible. Suppose $p \in \mathcal{P}(\mathbf{F})$ is a polynomial. Prove that \[ p\left(S T S^{-1}\right)=\operatorname{Sp}(T) S^{-1} . \]",978-3-319-11079-0
169,5.B,6,Suppose $T \in \mathcal{L}(V)$ and $U$ is a subspace of $V$ invariant under $T$. Prove that $U$ is invariant under $p(T)$ for every polynomial $p \in \mathcal{P}(\mathbf{F})$.,978-3-319-11079-0
169,5.B,7,Suppose $T \in \mathcal{L}(V)$. Prove that $9$ is an eigenvalue of $T^{2}$ if and only if $3$ or $-3$ is an eigenvalue of $T$.,978-3-319-11079-0
169,5.B,8,Give an example of $T \in \mathcal{L}\left(\mathbf{R}^{2}\right)$ such that $T^{4}=-1$.,978-3-319-11079-0
169,5.B,9,"Suppose $V$ is finite-dimensional, $T \in \mathcal{L}(V)$, and $v \in V$ with $v \neq 0$. Let $p$ be a nonzero polynomial of smallest degree such that $p(T) v=0$. Prove that every zero of $p$ is an eigenvalue of $T$.",978-3-319-11079-0
169,5.B,10,Suppose $T \in \mathcal{L}(V)$ and $v$ is an eigenvector of $T$ with eigenvalue $\lambda$. Suppose $p \in \mathcal{P}(\mathbf{F})$. Prove that $p(T) v=p(\lambda) v$.,978-3-319-11079-0
169,5.B,11,"Suppose $\mathbf{F}=\mathbf{C}, T \in \mathcal{L}(V), p \in \mathcal{P}(\mathbf{C})$ is a polynomial, and $\alpha \in \mathbf{C}$. Prove that $\alpha$ is an eigenvalue of $p(T)$ if and only if $\alpha=p(\lambda)$ for some eigenvalue $\lambda$ of $T$.",978-3-319-11079-0
169,5.B,12,Show that the result in the previous exercise does not hold if $\mathbf{C}$ is replaced with $\mathbf{R}$.,978-3-319-11079-0
169,5.B,154,"CHAPTER $5$ Eigenvalues, Eigenvectors, and Invariant Subspaces",978-3-319-11079-0
169,5.B,13,Suppose $W$ is a complex vector space and $T \in \mathcal{L}(W)$ has no eigenvalues. Prove that every subspace of $W$ invariant under $T$ is either $\{0\}$ or infinitedimensional.,978-3-319-11079-0
169,5.B,14,"Give an example of an operator whose matrix with respect to some basis contains only 0's on the diagonal, but the operator is invertible. [The exercise above and the exercise below show that $5.30$ fails without the hypothesis that an upper-triangular matrix is under consideration.]",978-3-319-11079-0
169,5.B,15,"Give an example of an operator whose matrix with respect to some basis contains only nonzero numbers on the diagonal, but the operator is not invertible.",978-3-319-11079-0
169,5.B,16,Rewrite the proof of $5.21$ using the linear map that sends $p \in \mathcal{P}_{n}(\mathbf{C})$ to $(p(T)) v \in V$ (and use 3.23).,978-3-319-11079-0
169,5.B,17,Rewrite the proof of $5.21$ using the linear map that sends $p \in \mathcal{P}_{n^{2}}(\mathbf{C})$ to $p(T) \in \mathcal{L}(V)$ (and use 3.23).,978-3-319-11079-0
169,5.B,18,Suppose $V$ is a finite-dimensional complex vector space and $T \in \mathcal{L}(V)$. Define a function $f: \mathbf{C} \rightarrow \mathbf{R}$ by \[ f(\lambda)=\operatorname{dim} \operatorname{range}(T-\lambda I) \]  Prove that $f$ is not a continuous function.,978-3-319-11079-0
169,5.B,19,Suppose $V$ is finite-dimensional with $\operatorname{dim} V>1$ and $T \in \mathcal{L}(V)$. Prove that \[ \{p(T): p \in \mathcal{P}(\mathbf{F})\} \neq \mathcal{L}(V) . \],978-3-319-11079-0
169,5.B,20,"Suppose $V$ is a finite-dimensional complex vector space and $T \in \mathcal{L}(V)$. Prove that $T$ has an invariant subspace of dimension $k$ for each $k=$ $1, \ldots, \operatorname{dim} V$.",978-3-319-11079-0
176,5.C,1,Suppose $T \in \mathcal{L}(V)$ is diagonalizable. Prove that $V=$ null $T \oplus$ range $T$.,978-3-319-11079-0
176,5.C,2,Prove the converse of the statement in the exercise above or give a counterexample to the converse.,978-3-319-11079-0
176,5.C,3,Suppose $V$ is finite-dimensional and $T \in \mathcal{L}(V)$. Prove that the following are equivalent: (a) $\quad V=\operatorname{null} T \oplus \operatorname{range} T$. (b) $\quad V=\operatorname{null} T+\operatorname{range} T$. (c) null $T \cap$ range $T=\{0\}$.,978-3-319-11079-0
176,5.C,4,Give an example to show that the exercise above is false without the hypothesis that $V$ is finite-dimensional.,978-3-319-11079-0
176,5.C,5,Suppose $V$ is a finite-dimensional complex vector space and $T \in \mathcal{L}(V)$. Prove that $T$ is diagonalizable if and only if \[ V=\operatorname{null}(T-\lambda I) \oplus \operatorname{range}(T-\lambda I) \] for every $\lambda \in \mathbf{C}$.,978-3-319-11079-0
176,5.C,6,"Suppose $V$ is finite-dimensional, $T \in \mathcal{L}(V)$ has $\operatorname{dim} V$ distinct eigenvalues, and $S \in \mathcal{L}(V)$ has the same eigenvectors as $T$ (not necessarily with the same eigenvalues). Prove that $S T=T S$.",978-3-319-11079-0
176,5.C,7,"Suppose $T \in \mathcal{L}(V)$ has a diagonal matrix $A$ with respect to some basis of $V$ and that $\lambda \in \mathbf{F}$. Prove that $\lambda$ appears on the diagonal of $A$ precisely $\operatorname{dim} E(\lambda, T)$ times.",978-3-319-11079-0
176,5.C,8,"Suppose $T \in \mathcal{L}\left(\mathbf{F}^{5}\right)$ and $\operatorname{dim} E(8, T)=4$. Prove that $T-2 I$ or $T-6 I$ is invertible. SECTION 5.C Eigenspaces and Diagonal Matrices",978-3-319-11079-0
176,5.C,161,,978-3-319-11079-0
176,5.C,9,"Suppose $T \in \mathcal{L}(V)$ is invertible. Prove that $E(\lambda, T)=E\left(\frac{1}{\lambda}, T^{-1}\right)$ for every $\lambda \in \mathbf{F}$ with $\lambda \neq 0$.",978-3-319-11079-0
176,5.C,10,"Suppose that $V$ is finite-dimensional and $T \in \mathcal{L}(V)$. Let $\lambda_{1}, \ldots, \lambda_{m}$ denote the distinct nonzero eigenvalues of $T$. Prove that \[ \operatorname{dim} E\left(\lambda_{1}, T\right)+\cdots+\operatorname{dim} E\left(\lambda_{m}, T\right) \leq \operatorname{dim} \operatorname{range} T . \]",978-3-319-11079-0
176,5.C,11,Verify the assertion in Example 5.40.,978-3-319-11079-0
176,5.C,12,"Suppose $R, T \in \mathcal{L}\left(\mathbf{F}^{3}\right)$ each have $2,6,7$ as eigenvalues. Prove that there exists an invertible operator $S \in \mathcal{L}\left(\mathbf{F}^{3}\right)$ such that $R=S^{-1} T S$.",978-3-319-11079-0
176,5.C,13,"Find $R, T \in \mathcal{L}\left(\mathbf{F}^{4}\right)$ such that $R$ and $T$ each have $2,6,7$ as eigenvalues, $R$ and $T$ have no other eigenvalues, and there does not exist an invertible operator $S \in \mathcal{L}\left(\mathbf{F}^{4}\right)$ such that $R=S^{-1} T S$.",978-3-319-11079-0
176,5.C,14,Find $T \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ such that $6$ and $7$ are eigenvalues of $T$ and such that $T$ does not have a diagonal matrix with respect to any basis of $\mathbf{C}^{3}$.,978-3-319-11079-0
176,5.C,15,"Suppose $T \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ is such that $6$ and $7$ are eigenvalues of $T$. Furthermore, suppose $T$ does not have a diagonal matrix with respect to any basis of $\mathbf{C}^{3}$. Prove that there exists $(x, y, z) \in \mathbf{F}^{3}$ such that $T(x, y, z)=(17+8 x, \sqrt{5}+8 y, 2 \pi+8 z)$.",978-3-319-11079-0
